20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
*|**|EMBRAER|13032184774.40|15038845043.64|-13.34|2535740509.00|2807116333.00|-9.67
||ENAUTA PART|4526691592.15|4056213370.30|11.60|880782113.00|757123487.00|16.33
||ENCORPAR|160761495.90|156960383.25|2.42|31280207.00|29297865.00|6.77
*|**|ENERGIAS BR|12041744352.96|12460183345.92|-3.36|2343025325.00|2325789253.00|0.74
*|**|ENERGISA|18114858789.02|18816486453.24|-3.73|3524703037.00|3512242217.00|0.35
||ENERGISA MT|17905750595.33|17862698624.15|0.24|3484015760.00|3334210368.00|4.49
*|**|ENEVA|17057588795.01|16728340607.43|1.97|3318984472.00|3122473701.00|6.29
*|**|ENGIE BRASIL|32531038993.80|33208259018.00|-2.04|6329734793.00|6198577485.00|2.12
||ENJOEI|595545906.83|621267158.62|-4.14|115878489.00|115964303.00|-0.07
||EQTL PARA|14471219921.39|12509290544.74|15.68|2815741122.00|2334955490.00|20.59
*|**|EQUATORIAL|28866857338.45|23201988871.60|24.42|5616775760.00|4330830043.00|29.69
||ESPACOLASER|1055097645.12|1560665266.74|-32.39|205295880.00|291310200.00|-29.53
||ESTAPAR|868311662.90|924804228.92|-6.11|168951952.00|172621837.00|-2.13
||ESTRELA|46981302.00|46981302.00|0.00|9141398.00|8769422.00|4.24
||ETERNIT|926648625.00|1091592080.25|-15.11|180302881.00|203754075.00|-11.51
||EUCATEX|952155371.40|990787996.56|-3.90|185265862.00|184938216.00|0.18
||EVEN|1282600000.00|1570920000.00|-18.35|249562206.00|293224325.00|-14.89
||EXCELSIOR|427177759.60|448588869.80|-4.77|83118216.00|83732570.00|-0.73
*|**|EZTEC|3988390000.00|4853260000.00|-17.82|776041950.00|905898384.00|-14.33
||FER C ATLANT|1713.69|1713.69|0.00|333.00|320.00|4.06
||FER HERINGER|775544889.60|859023679.80|-9.72|150901835.00|160343390.00|-5.89
||FERBASA|4063308800.00|4206976000.00|-3.41|790619294.00|785264494.00|0.68
||FINANSINOS|13907701.16|13907701.16|0.00|2706094.00|2595980.00|4.24
*|**|FLEURY|5710274168.16|6428827599.12|-11.18|1111077980.00|1199990219.00|-7.41
||FLEX S/A||||0.00|0.00|
||FOCUS ON|990686158.80|979927576.08|1.10|192762999.00|182911034.00|5.39
||FRAS-LE|2956726601.37|2743511585.23|7.77|575305795.00|512097582.00|12.34
||G2D INVEST|196272625.00|197450260.75|-0.60|38189794.00|36855613.00|3.62
||GAFISA|597278936.79|688389283.08|-13.24|116215694.00|128493165.00|-9.55
||GENERALSHOPP|55876437.93|58827454.50|-5.02|10872171.00|10980598.00|-0.99
||GER PARANAP|2767839524.73|2991016850.22|-7.46|538553046.00|558296347.00|-3.54
*|**|GERDAU|40839802227.09|44869490976.60|-8.98|7946414412.00|8375236304.00|-5.12
*|**|GERDAU MET|11029763904.85|12079201524.91|-8.69|2146118984.00|2254676060.00|-4.81
